Timestamp,Stylus Position X,Stylus Position Y,Stylus Position Z,Unity Stylus Position X,Unity Stylus Position Y,Unity Stylus Position Z,Joint angle 0,Joint angle 1,Joint angle 2,Gimbal angle 0,Gimbal angle 1,Gimbal angle 2,Is Assisting
6.3861E+17,-2.601125002,36.95837784,-1.897489667,-0.002600509,0.03692102,-0.001936941,-0.015625557,0.97559166,0.75833267,-1.196445346,0.790881276,-1.617028832,TRUE
6.3861E+17,-2.395139456,36.98887634,-1.939462781,-0.002395707,0.03702626,-0.001900026,-0.014391962,0.975999653,0.75833267,-1.230961323,0.790881276,-1.61063695,TRUE
6.3861E+17,-2.331271172,36.63903046,-1.612362027,-0.002330719,0.0366017,-0.001651845,-0.013980762,0.972327411,0.757517695,-1.259085417,0.792159677,-1.587626338,TRUE
6.3861E+17,-1.922938824,37.0369873,-1.342372179,-0.001992081,0.03707448,-0.001303845,-0.011513568,0.973143458,0.76118505,-1.28593111,0.792159677,-1.572285891,TRUE
6.3861E+17,-0.135694981,33.79522705,-3.350827217,-0.000339551,0.03407529,-0.003198345,-0.000822398,0.96539098,0.731846035,-1.299993157,0.792159677,-1.586347938,TRUE
6.3861E+17,4.851037025,28.76816368,-4.546470642,0.004517434,0.02914013,-0.004421217,0.02960632,0.941725433,0.69517225,-1.284652829,0.787046194,-1.61063695,TRUE
6.3861E+17,12.60338306,23.55368233,-5.641215324,0.01179715,0.02398607,-0.005625383,0.077305391,0.913571596,0.659720898,-1.241188169,0.780654311,-1.648988008,TRUE
6.3861E+17,20.68265343,17.57593536,-5.917525291,0.01926254,0.01851596,-0.00588609,0.126649261,0.873993039,0.626307011,-1.195166945,0.783211052,-1.711628079,TRUE
6.3861E+17,29.49439049,9.715308189,-3.283164024,0.02779324,0.01101551,-0.003832755,0.176815525,0.807076633,0.601450324,-1.136361957,0.784489453,-1.77426827,TRUE
6.3861E+17,37.22121429,2.077495575,-0.272428393,0.03673571,0.002438594,-0.000504228,0.217935413,0.739752233,0.585150838,-1.08267045,0.793438017,-1.842021823,TRUE
6.3861E+17,43.08742905,-7.393257618,3.629036903,0.04231745,-0.006591612,0.003247078,0.245485738,0.658554971,0.568851352,-1.032814026,0.803664982,-1.91744566,TRUE
6.3861E+17,49.89200974,-18.32160568,1.968799233,0.04950536,-0.01762475,0.002207515,0.284960836,0.587558329,0.521990418,-0.981679261,0.816448689,-1.987755895,TRUE
6.3861E+17,54.24950409,-25.39876556,2.673450708,0.05346953,-0.02436507,0.002404624,0.307165563,0.534106851,0.506098449,-0.902420342,0.813891947,-2.052952766,TRUE
6.3861E+17,58.3850441,-30.81640625,0.862721741,0.05818199,-0.03044824,0.001178044,0.332248718,0.4998326,0.483279169,-0.841058612,0.820283771,-2.092582226,TRUE
6.3861E+17,61.40005875,-33.26238251,-0.321937591,0.06118885,-0.03304185,-4.17E-05,0.350341469,0.483919561,0.473906994,-0.773305058,0.811335206,-2.156500578,TRUE
6.3861E+17,61.78245163,-33.146698,-0.985385716,0.06187687,-0.03317013,-0.000941546,0.353631049,0.486367732,0.471054584,-0.731118858,0.804943383,-2.229367733,TRUE
6.3861E+17,59.10920334,-32.35374832,-0.405347556,0.05945437,-0.03235375,-0.000527231,0.338416696,0.49289614,0.471462071,-0.705551445,0.802386642,-2.277945757,TRUE
6.3861E+17,55.76978302,-33.14126968,1.627341509,0.05661315,-0.03275647,0.001133815,0.317034334,0.484735608,0.474314481,-0.702994704,0.802386642,-2.284337521,TRUE
6.3861E+17,51.72891617,-35.2619133,4.803204536,0.05200646,-0.03509095,0.004693968,0.290306419,0.464334279,0.479204297,-0.719613552,0.801108241,-2.245986462,TRUE
6.3861E+17,51.49543381,-37.88159561,3.249561548,0.05167831,-0.03756579,0.003602081,0.291540027,0.452093482,0.460052431,-0.752851129,0.804943383,-2.233202934,TRUE
6.3861E+17,53.3535347,-38.56596375,2.774143696,0.05291727,-0.03846786,0.002860258,0.302231193,0.447197169,0.458422482,-0.759242952,0.801108241,-2.233202934,TRUE
6.3861E+17,59.1354332,-39.53757095,0.333366215,0.05863664,-0.03939333,0.000689636,0.337183088,0.442300856,0.451902688,-0.749016047,0.801108241,-2.313740015,TRUE
6.3861E+17,63.52239609,-37.98957825,-2.39081955,0.063095,-0.03813451,-0.00228133,0.365555823,0.456173748,0.449865282,-0.706829846,0.792159677,-2.455639124,TRUE
6.3861E+17,67.91884613,-40.99422455,-5.514962196,0.06718872,-0.04040776,-0.005382548,0.395162135,0.439852685,0.43152836,-0.67487061,0.7985515,-2.482484818,TRUE
6.3861E+17,67.57183838,-43.45132446,-0.947751403,0.06767841,-0.04309216,-0.001671879,0.383648574,0.410066754,0.451902688,-0.635241151,0.788324535,-2.477371454,TRUE
6.3861E+17,64.66386414,-45.79853821,3.763795376,0.06494452,-0.04572066,0.003437204,0.359387815,0.383136988,0.468202174,-0.635241151,0.794716418,-2.482484818,TRUE
6.3861E+17,60.69294739,-45.784935,6.617633343,0.06153766,-0.04598499,0.006036432,0.333893508,0.378648698,0.477574348,-0.656973422,0.804943383,-2.490154982,TRUE
6.3861E+17,57.60339737,-42.14170837,6.004894733,0.05797987,-0.04266656,0.006180136,0.319090337,0.408434659,0.477166861,-0.676148951,0.811335206,-2.493990183,TRUE
6.3861E+17,55.69416428,-34.96864319,3.541820288,0.05588824,-0.03611279,0.004140812,0.313333541,0.466374427,0.480019271,-0.679984093,0.803664982,-2.486320019,TRUE
6.3861E+17,58.09373474,-35.58130264,-5.008349419,0.05771425,-0.03531763,-0.003720548,0.341706276,0.486367732,0.429083437,-0.692767799,0.811335206,-2.493990183,TRUE
