Timestamp,Stylus Position X,Stylus Position Y,Stylus Position Z,Unity Stylus Position X,Unity Stylus Position Y,Unity Stylus Position Z,Joint angle 0,Joint angle 1,Joint angle 2,Gimbal angle 0,Gimbal angle 1,Gimbal angle 2,Is Assisting,
638591493277003340,-3.75057148933411,41.6172180175781,-2.54074859619141,-0.003597407,0.04801769,-0.0001336988,-0.0226159393787384,1.00456154346466,0.785634279251099,2.07362341880798,0.820283770561218,0.144564136862755,False
638591493277981288,-4.27692794799805,24.1712532043457,-8.37091445922852,-0.004278062,0.02433464,-0.008328501,-0.0267279278486967,0.932340800762177,0.648718774318695,2.07362341880798,0.81900542974472,0.144564136862755,False
638591493278160718,-4.21816492080688,21.8933353424072,-5.55768585205078,-0.004210409,0.02219445,-0.005857022,-0.0259055308997631,0.905003011226654,0.647903800010681,2.08640718460083,0.801108241081238,0.158626213669777,False
638591493278479635,-4.21802091598511,18.7032508850098,5.47793769836426,-0.004251963,0.01906124,0.003955118,-0.0242607351392508,0.833598375320435,0.683762609958649,2.08385038375854,0.798551499843597,0.162461310625076,False
638591493278779106,-5.59813976287842,12.6828832626343,1.76597988605499,-0.00513707,0.01398829,0.002734319,-0.0328959114849567,0.814421117305756,0.631196856498718,1.99308621883392,0.829232394695282,0.138172298669815,False
638591493279110144,-7.47408819198608,6.52935886383057,-4.71297788619995,-0.007185509,0.007672162,-0.003600325,-0.045643076300621,0.802996397018433,0.563146531581879,1.80772268772125,0.827953994274139,0.150955989956856,False
638591493279449003,-7.87647104263306,3.52222633361816,-3.34685707092285,-0.007733609,0.003677178,-0.0034931,-0.0476990714669228,0.777698755264282,0.55418187379837,1.70545315742493,0.807500123977661,0.124110236763954,False
638591493279769160,-10.6330127716064,3.73633313179016,-0.661747753620148,-0.01025507,0.003453613,-0.00118067,-0.0633246302604675,0.767498075962067,0.570888817310333,1.68372082710266,0.806221723556519,0.0576350279152393,False
638591493280108353,-11.8868741989136,4.23601818084717,-0.561456203460693,-0.01206068,0.004561981,-7.155249E-05,-0.0707262083888054,0.769946217536926,0.574556171894073,1.66326689720154,0.81644868850708,-0.0139536540955305,False
638591493280457185,-11.3050680160522,1.76596772670746,-3.9804482460022,-0.011328,0.002030087,-0.003647083,-0.0686702132225037,0.767906069755554,0.542364716529846,1.66710197925568,0.820283770561218,-0.185255140066147,False
638591493280781577,-11.8443403244019,1.64415323734283,-3.09001064300537,-0.01170452,0.001548362,-0.003135428,-0.0715486034750938,0.763417780399323,0.546847105026245,1.68883430957794,0.806221723556519,-0.267070770263672,False
638591493281123159,-13.0367288589478,2.37345838546753,-2.70089530944824,-0.01289917,0.002237944,-0.002707229,-0.0785389915108681,0.766273975372314,0.553366899490356,1.69011270999908,0.807500123977661,-0.250451982021332,False
638591493281456488,-14.1852912902832,3.24628090858459,-2.90174341201782,-0.01411909,0.003071844,-0.002874411,-0.0855293720960617,0.772394359111786,0.557441771030426,1.67732894420624,0.810056805610657,-0.210822537541389,False
638591493281785655,-15.6516160964966,4.97369575500488,-1.89480066299438,-0.01549991,0.004681055,-0.00204088,-0.093753345310688,0.77892279624939,0.572926223278046,1.65687501430511,0.808778464794159,-0.190368622541428,False
638591493282124603,-17.0155029296875,6.97919893264771,-1.395183801651,-0.01680097,0.006538653,-0.001459428,-0.101566128432751,0.789123475551605,0.587188243865967,1.62747251987457,0.812613546848297,-0.214657634496689,False
638591493282454134,-17.9436206817627,8.81328296661377,-1.15406513214111,-0.01779821,0.008439919,-0.001213601,-0.106911711394787,0.799324154853821,0.599005401134491,1.60190522670746,0.815170288085938,-0.244060128927231,False
638591493282792299,-18.4881458282471,10.8528518676758,-1.26265263557434,-0.01841777,0.01064721,-0.001270219,-0.110201299190521,0.812380969524384,0.610007524490356,1.58656477928162,0.81644868850708,-0.273462623357773,False
638591493283101269,-18.6637878417969,13.0734605789185,-1.55782651901245,-0.01860615,0.01262051,-0.001451915,-0.111434899270535,0.827477991580963,0.621009647846222,1.57633781433105,0.815170288085938,-0.291359812021255,False
638591493283447167,-18.8852367401123,16.1058578491211,-2.66194415092468,-0.01890666,0.01558593,-0.002473954,-0.113490894436836,0.851143538951874,0.632826805114746,1.55716228485107,0.815170288085938,-0.305421859025955,False
638591493283776060,-19.0289001464844,19.5698852539063,-3.80726361274719,-0.01905218,0.01912534,-0.003605952,-0.115135692059994,0.877665281295776,0.647496283054352,1.53926503658295,0.811335206031799,-0.348886430263519,False
638591493284104966,-18.9879741668701,23.1182613372803,-4.75065994262695,-0.01902715,0.02237735,-0.004413085,-0.115546889603138,0.903778970241547,0.664203226566315,1.52648138999939,0.807500123977661,-0.440929025411606,False
638591493284449001,-18.6069469451904,26.9257373809814,-5.69793176651001,-0.01869994,0.02622845,-0.00547821,-0.11390209197998,0.931524753570557,0.682947635650635,1.51625442504883,0.803664982318878,-0.539363443851471,False
638591493284862322,-18.0916652679443,32.2847557067871,-6.0669059753418,-0.01816655,0.03172096,-0.00600145,-0.11102370172739,0.965390980243683,0.714731574058533,1.50730586051941,0.798551499843597,-0.603281915187836,False
638591493285111444,-17.4088649749756,35.1824188232422,-6.13684988021851,-0.01755658,0.03452295,-0.006018853,-0.106911711394787,0.982936143875122,0.732661008834839,1.50219237804413,0.7972731590271,-0.625014185905457,False
638591493285442756,-15.5706062316895,39.1322555541992,-7.02765130996704,-0.0159247,0.0385534,-0.006832319,-0.096220538020134,1.01108992099762,0.753850340843201,1.49580049514771,0.7972731590271,-0.646746456623077,False
