Timestamp,Stylus Position X,Stylus Position Y,Stylus Position Z,Unity Stylus Position X,Unity Stylus Position Y,Unity Stylus Position Z,Joint angle 0,Joint angle 1,Joint angle 2,Gimbal angle 0,Gimbal angle 1,Gimbal angle 2,Is Assisting
6.39E+17,21.8786335,-108.9210205,-2.514815331,0.02183766,-0.1089199,-0.00229884,0.131172448,-0.024889624,0.257531554,-0.484393567,0.787046194,1.797495723,FALSE
6.39E+17,21.46333694,-109.0175705,-3.04238677,0.02152469,-0.1089768,-0.003102087,0.129116446,-0.024481596,0.253049225,-0.493342161,0.784489453,1.801330805,FALSE
6.39E+17,21.19481468,-108.7271576,-1.895244956,0.02125661,-0.1087412,-0.001956044,0.126649261,-0.024481596,0.261606425,-0.509960949,0.77937597,1.803887606,FALSE
6.39E+17,21.33186722,-108.6727676,-1.911421657,0.02133187,-0.1086728,-0.001911422,0.127471656,-0.024073571,0.261606425,-0.534249961,0.784489453,1.789825439,FALSE
6.39E+17,21.96140289,-108.6446152,-1.887440205,0.02189295,-0.1086446,-0.001878424,0.131172448,-0.024073571,0.262421399,-0.55086875,0.784489453,1.782155275,FALSE
6.39E+17,22.1667347,-108.6446152,-1.914658308,0.02216674,-0.1086446,-0.001914658,0.132406041,-0.024073571,0.262421399,-0.561095715,0.784489453,1.778320193,FALSE
6.39E+17,22.1598053,-108.658699,-1.966679931,0.02215981,-0.1086587,-0.00196668,0.132406041,-0.024073571,0.262013912,-0.568765938,0.784489453,1.777041793,FALSE
6.39E+17,22.08430481,-108.7271576,-2.01092124,0.02209121,-0.1087131,-0.001958891,0.131994843,-0.024481596,0.261606425,-0.575157821,0.784489453,1.774485111,FALSE
6.39E+17,22.07048798,-108.7552261,-2.114998579,0.02207049,-0.1087552,-0.002114999,0.131994843,-0.024481596,0.260791451,-0.582827985,0.784489453,1.773206711,FALSE
6.39E+17,22.05666733,-108.7832031,-2.21909833,0.02205667,-0.1087832,-0.002219098,0.131994843,-0.024481596,0.259976476,-0.59305495,0.784489453,1.773206711,FALSE
6.39E+17,22.05666733,-108.7832031,-2.21909833,0.02205667,-0.1087832,-0.002219098,0.131994843,-0.024481596,0.259976476,-0.604560316,0.783211052,1.77192831,FALSE
6.39E+17,22.28251076,-108.7412033,-2.090318203,0.02227554,-0.1087552,-0.002142351,0.133228436,-0.024481596,0.261198938,-0.622457445,0.783211052,1.755309463,FALSE
6.39E+17,23.12431145,-108.6990128,-2.046332836,0.02305593,-0.108699,-0.002036838,0.138162822,-0.024481596,0.262421399,-0.639076233,0.784489453,1.732298851,FALSE
6.39E+17,24.02066231,-108.6305084,-2.119078398,0.02388376,-0.1086849,-0.002100688,0.143508419,-0.024073571,0.262828887,-0.650581598,0.784489453,1.714401722,FALSE
6.39E+17,24.575037,-108.6163788,-2.147090673,0.02457504,-0.1086164,-0.002147091,0.146798,-0.024073571,0.263236374,-0.65313834,0.784489453,1.702896357,FALSE
6.39E+17,24.38521004,-108.5880585,-2.013089657,0.02445361,-0.1085881,-0.002023131,0.145564407,-0.024073571,0.264051348,-0.65313834,0.784489453,1.696504474,FALSE
6.39E+17,23.97475052,-108.5880585,-1.953432798,0.02404317,-0.1085881,-0.001963305,0.143097207,-0.024073571,0.264051348,-0.655695081,0.784489453,1.691390991,FALSE
6.39E+17,22.98053169,-108.658699,-2.078050137,0.02311727,-0.1086587,-0.002097005,0.137340426,-0.024073571,0.262013912,-0.662086904,0.785767794,1.684999228,FALSE
6.39E+17,21.59207726,-108.7008286,-2.050849915,0.02179721,-0.1087008,-0.002077613,0.129116446,-0.024073571,0.260791451,-0.667200387,0.785767794,1.683720827,FALSE
6.39E+17,19.80053711,-108.7288132,-1.933791518,0.02014265,-0.1087288,-0.001974853,0.11842528,-0.024073571,0.259976476,-0.67359221,0.784489453,1.683720827,FALSE
6.39E+17,17.66670799,-108.7023087,-1.798076749,0.0180091,-0.1087023,-0.001834751,0.105678111,-0.023665544,0.259161502,-0.687654316,0.785767794,1.683720827,FALSE
6.39E+17,15.46398544,-108.7301178,-1.684646249,0.01566957,-0.1087301,-0.00170385,0.092519753,-0.023665544,0.258346528,-0.699159622,0.787046194,1.683720827,FALSE
6.39E+17,12.99112892,-108.743988,-1.526378751,0.0132655,-0.108744,-0.001547972,0.077716589,-0.023665544,0.257939041,-0.71450007,0.787046194,1.683720827,FALSE
6.39E+17,10.99055481,-108.7854767,-1.540633678,0.01112773,-0.1087855,-0.001549729,0.065791823,-0.023665544,0.256716579,-0.73495394,0.787046194,1.683720827,FALSE
6.39E+17,9.340904236,-108.799263,-1.492773414,0.009478125,-0.1087993,-0.001500512,0.055923048,-0.023665544,0.256309092,-0.75668627,0.787046194,1.683720827,FALSE
6.39E+17,8.245518684,-108.7854767,-1.382433057,0.008314175,-0.1087855,-0.001385838,0.049343865,-0.023665544,0.256716579,-0.778418541,0.787046194,1.683720827,FALSE
6.39E+17,7.89973259,-108.799263,-1.418334961,0.007899733,-0.1087993,-0.001418335,0.047287874,-0.023665544,0.256309092,-0.800150812,0.788324535,1.683720827,FALSE
6.39E+17,7.963360786,-108.826767,-1.5266155,0.007963361,-0.1088268,-0.001526616,0.047699071,-0.023665544,0.255494148,-0.8167696,0.788324535,1.683720827,FALSE
6.39E+17,7.963360786,-108.826767,-1.5266155,0.007963361,-0.1088268,-0.001526616,0.047699071,-0.023665544,0.255494148,-0.826996565,0.787046194,1.683720827,FALSE
6.39E+17,7.963360786,-108.826767,-1.5266155,0.007963361,-0.1088268,-0.001526616,0.047699071,-0.023665544,0.255494148,-0.841058612,0.787046194,1.683720827,FALSE
6.39E+17,7.960854053,-108.8404922,-1.579132915,0.007963361,-0.1088268,-0.001526616,0.047699071,-0.023665544,0.25508666,-0.846172094,0.788324535,1.682442427,FALSE
6.39E+17,7.816306591,-108.8815308,-1.730234265,0.007816307,-0.1088815,-0.001730234,0.046876673,-0.023665544,0.253864199,-0.855120659,0.788324535,1.683720827,FALSE
6.39E+17,7.268154144,-108.8815308,-1.705423355,0.007336678,-0.1088815,-0.001708426,0.043587081,-0.023665544,0.253864199,-0.858955801,0.787046194,1.683720827,FALSE
