Timestamp,Stylus Position X,Stylus Position Y,Stylus Position Z,Unity Stylus Position X,Unity Stylus Position Y,Unity Stylus Position Z,Joint angle 0,Joint angle 1,Joint angle 2,Gimbal angle 0,Gimbal angle 1,Gimbal angle 2,Is Assisting,Assistance Level
638647622905193273,-29.7650947570801,33.237247467041,-7.50412321090698,-0.01511586,0.03463273,-0.0089987,-0.182983502745628,0.969471216201782,0.722066342830658,-0.287524700164795,0.771705746650696,2.59008479118347,False,0
638647622907818873,-45.4796371459961,27.8773994445801,-0.91294538974762,-0.04578686,0.02798676,-0.0008713604,-0.265223294496536,0.888273954391479,0.734698414802551,-0.471609890460968,0.7972731590271,2.57474422454834,False,0
638647622907938854,-44.6122817993164,27.5904636383057,-0.843032836914063,-0.04477089,0.02766315,-0.0008017271,-0.260288894176483,0.88745790719986,0.732253551483154,-0.465218037366867,0.795994758605957,2.57474422454834,False,0
638647622908176583,-43.2406692504883,26.9081916809082,-1.02275145053864,-0.04331965,0.02694426,-0.001001204,-0.252887308597565,0.886233806610107,0.725733757019043,-0.453712701797485,0.794716417789459,2.57474422454834,False,0
638647622908316187,-42.7300605773926,26.5183944702148,-1.01174938678741,-0.04285653,0.02669367,-0.001090424,-0.250008910894394,0.884601712226868,0.722881317138672,-0.446042478084564,0.793438017368317,2.57474422454834,False,0
638647622908476182,-42.4164428710938,25.9525966644287,-1.09280776977539,-0.0425226,0.02612656,-0.001251085,-0.248364135622978,0.882153570652008,0.718806445598602,-0.440929025411606,0.793438017368317,2.57602262496948,False,0
638647622908676497,-42.3009300231934,25.4610443115234,-0.970720827579498,-0.04228039,0.02553044,-0.001051989,-0.247541725635529,0.878889322280884,0.716361522674561,-0.434537172317505,0.792159676551819,2.57602262496948,False,0
638647622908980018,-42.462703704834,24.9362773895264,-0.620973527431488,-0.0423835,0.02497119,-0.0006439892,-0.247952938079834,0.873993039131165,0.715139091014862,-0.430702060461044,0.793438017368317,2.57602262496948,False,0
638647622909319676,-43.0208129882813,24.4457473754883,-0.161644577980042,-0.0429311,0.02451603,-0.0002244684,-0.250420123338699,0.868280649185181,0.715139091014862,-0.430702060461044,0.794716417789459,2.57602262496948,False,0
638647622909650023,-43.293025970459,23.9872798919678,0.324644029140472,-0.04328275,0.02402265,0.000284595,-0.251242518424988,0.862976312637329,0.715139091014862,-0.431980431079865,0.794716417789459,2.57474422454834,False,0
638647622909990012,-43.3650321960449,23.4547290802002,0.605196714401245,-0.04334455,0.02352582,0.0005253929,-0.251242518424988,0.858488023281097,0.713509142398834,-0.433258801698685,0.7972731590271,2.57474422454834,False,0
638647622910330172,-43.3362579345703,22.742805480957,0.781872749328613,-0.04333631,0.022814,0.0007820458,-0.250831335783005,0.853591680526733,0.710249245166779,-0.434537172317505,0.7972731590271,2.57090926170349,False,0
638647622910630010,-43.1078987121582,22.0648517608643,1.04894840717316,-0.04316757,0.02217207,0.0009920626,-0.249186530709267,0.848695337772369,0.707396864891052,-0.435815542936325,0.798551499843597,2.57090926170349,False,0
638647622910992041,-42.617488861084,20.8846302032471,1.45710134506226,-0.04261772,0.02095602,0.00145801,-0.245896935462952,0.840534806251526,0.702099502086639,-0.431980431079865,0.79982990026474,2.56963086128235,False,0
638647622911302650,-42.3243865966797,20.023193359375,1.76989603042603,-0.04237514,0.0201677,0.001675437,-0.243840947747231,0.834414422512054,0.698432147502899,-0.429423689842224,0.801108241081238,2.56707406044006,False,0
638647622911642603,-41.847053527832,18.9773654937744,2.24461460113525,-0.04190805,0.01908582,0.002190164,-0.240551352500916,0.826661944389343,0.69435727596283,-0.425588577985764,0.801108241081238,2.56835246086121,False,0
638647622911963030,-41.3457450866699,17.85817527771,2.62989950180054,-0.0414681,0.01800417,0.002520649,-0.237261757254601,0.818909406661987,0.689467430114746,-0.421753466129303,0.801108241081238,2.56707406044006,False,0
638647622912310797,-40.0590553283691,17.1321430206299,3.16342067718506,-0.04032354,0.01727865,0.003022657,-0.229448974132538,0.813605070114136,0.686614990234375,-0.415361613035202,0.80238664150238,2.56707406044006,False,0
638647622912651450,-37.8789939880371,16.1233749389648,3.70301127433777,-0.03816317,0.01626705,0.003646066,-0.216701820492744,0.807484686374664,0.681317687034607,-0.405134677886963,0.803664982318878,2.56451725959778,False,0
638647622912981444,-35.664737701416,15.0119848251343,4.08460807800293,-0.03588742,0.01518958,0.00408848,-0.20395465195179,0.801364302635193,0.674797892570496,-0.393629342317581,0.804943382740021,2.56196045875549,False,0
638647622913309193,-33.6813735961914,13.7713851928711,4.12799167633057,-0.03418966,0.01416339,0.004090691,-0.192852273583412,0.795651912689209,0.666240692138672,-0.382124036550522,0.806221723556519,2.56068229675293,False,0
638647622913645984,-32.0750885009766,12.7200422286987,4.58126592636108,-0.03226789,0.01290668,0.004431809,-0.183394700288773,0.788715481758118,0.661350846290588,-0.3680619597435,0.806221723556519,2.56323885917664,False,0
638647622914128697,-30.2466068267822,11.5231132507324,5.0412974357605,-0.03037596,0.01160037,0.004940878,-0.1727035343647,0.780962944030762,0.655646026134491,-0.361670106649399,0.806221723556519,2.56196045875549,False,0
638647622914308702,-29.6045608520508,10.9102172851563,5.15114259719849,-0.02967759,0.01105377,0.005148791,-0.169002741575241,0.77729070186615,0.652386128902435,-0.359113365411758,0.807500123977661,2.56068229675293,False,0
638647622914621718,-28.6938819885254,10.1085262298584,5.41109895706177,-0.02882434,0.01018647,0.005312527,-0.163657158613205,0.771986365318298,0.648718774318695,-0.356556624174118,0.808778464794159,2.55812549591064,False,0
