Timestamp,Stylus Position X,Stylus Position Y,Stylus Position Z,Unity Stylus Position X,Unity Stylus Position Y,Unity Stylus Position Z,Joint angle 0,Joint angle 1,Joint angle 2,Gimbal angle 0,Gimbal angle 1,Gimbal angle 2,Is Assisting,Assistance Level
638647731408315653,13.8142910003662,37.993537902832,-0.753086507320404,0.01339955,0.03702221,-0.004135281,0.0822397768497467,0.972327411174774,0.772187232971191,0.0141704715788364,0.781932711601257,0.0870375260710716,False,0
638647731409534074,14.1661243438721,40.5628433227539,3.51540350914001,0.01417288,0.04057101,0.003597367,0.0822397768497467,0.962942838668823,0.806823551654816,0.0103353634476662,0.793438017368317,0.0780889391899109,False,0
638647731409693952,13.7956266403198,40.5439987182617,1.58071160316467,0.0138807,0.04035188,0.001761272,0.081006184220314,0.973551511764526,0.798266351222992,-0.00116996059659868,0.801108241081238,0.0742538273334503,False,0
638647731409923918,13.3336591720581,40.4170875549316,-0.690952062606812,0.01345145,0.04020087,-8.53544E-05,0.0793613865971565,0.985384285449982,0.787671685218811,-0.00500506861135364,0.801108241081238,0.0819240435957909,False,0
638647731410265198,12.8325853347778,41.1628952026367,-1.7927725315094,0.01291165,0.04107402,-0.001661563,0.0768941938877106,0.995584964752197,0.787671685218811,-0.0165103934705257,0.795994758605957,0.093429371714592,False,0
638647731410575175,12.993218421936,41.0917129516602,-1.49954116344452,0.01292461,0.04109171,-0.001494213,0.077716588973999,0.993544816970825,0.788486659526825,-0.0254589784890413,0.790881276130676,0.101099587976933,False,0
638647731410905784,13.2098178863525,41.0025520324707,-1.37939500808716,0.01320982,0.04100255,-0.001379395,0.0789501890540123,0.992320716381073,0.788486659526825,-0.0420777797698975,0.790881276130676,0.0998212173581123,False,0
638647731411252193,13.4059944152832,40.9552383422852,-1.51762843132019,0.013406,0.04095524,-0.001517629,0.080183781683445,0.992728769779205,0.787671685218811,-0.0484696254134178,0.790881276130676,0.0985428467392921,False,0
638647731411592213,13.2718257904053,40.9937553405762,-1.46845269203186,0.01327183,0.04099376,-0.001468453,0.0793613865971565,0.992728769779205,0.78807920217514,-0.049747996032238,0.790881276130676,0.101099587976933,False,0
638647731411912184,13.3434991836548,41.0322914123535,-1.43573391437531,0.0133435,0.04103229,-0.001435734,0.0797725841403008,0.992728769779205,0.788486659526825,-0.0523047335445881,0.790881276130676,0.106213063001633,False,0
638647731412250304,13.4121332168579,41.0322914123535,-1.44123494625092,0.01341213,0.04103229,-0.001441235,0.080183781683445,0.992728769779205,0.788486659526825,-0.0586965791881084,0.790881276130676,0.112604908645153,False,0
638647731412580285,13.4807643890381,41.0322914123535,-1.44676411151886,0.01348076,0.04103229,-0.001446764,0.0805949792265892,0.992728769779205,0.788486659526825,-0.0702019035816193,0.790881276130676,0.124110236763954,False,0
638647731412900340,13.4881000518799,40.9727935791016,-1.3559445142746,0.0134881,0.0409728,-0.001355945,0.0805949792265892,0.991912722587585,0.788486659526825,-0.0778721198439598,0.790881276130676,0.144564136862755,False,0
638647731413240244,13.5137434005737,40.7639656066895,-1.03845810890198,0.01351008,0.04079385,-0.001083777,0.0805949792265892,0.989056527614594,0.788486659526825,-0.0842639654874802,0.790881276130676,0.165018051862717,False,0
638647731413570222,13.4399423599243,40.5500946044922,-1.09516084194183,0.01343994,0.0405501,-0.001095161,0.080183781683445,0.988240480422974,0.786856710910797,-0.0944909229874611,0.792159676551819,0.182915225625038,False,0
638647731413890237,13.4276390075684,40.3963050842285,-1.24826037883759,0.01342764,0.04039631,-0.00124826,0.080183781683445,0.988240480422974,0.785226762294769,-0.109831355512142,0.792159676551819,0.196977287530899,False,0
638647731414239315,13.4458236694336,40.2463989257813,-1.02196335792542,0.01344219,0.04027642,-0.001067198,0.080183781683445,0.986200332641602,0.785226762294769,-0.126450151205063,0.792159676551819,0.21231772005558,False,0
638647731414589291,13.4717893600464,39.9671821594238,-0.698837459087372,0.01347179,0.03996718,-0.0006988375,0.080183781683445,0.982936143875122,0.784819304943085,-0.146904066205025,0.792159676551819,0.235328361392021,False,0
638647731414929244,13.5201063156128,39.561824798584,-0.959671795368195,0.01352632,0.03963838,-0.0008827818,0.0805949792265892,0.982120096683502,0.7811518907547,-0.169914707541466,0.793438017368317,0.260895758867264,False,0
638647731415259224,13.5154838562012,39.2800025939941,-1.01690936088562,0.01351496,0.03934845,-0.001023453,0.0805949792265892,0.98089599609375,0.779114484786987,-0.192925363779068,0.793438017368317,0.286463141441345,False,0
638647731415580951,13.5373067855835,39.0980682373047,-0.746723055839539,0.01353367,0.03912844,-0.0007917233,0.0805949792265892,0.97844785451889,0.779114484786987,-0.213379263877869,0.792159676551819,0.308195412158966,False,0
638647731415900976,13.5445728302002,39.0372772216797,-0.656759679317474,0.01354457,0.03903728,-0.0006567597,0.0805949792265892,0.977631747722626,0.779114484786987,-0.227441340684891,0.793438017368317,0.324814230203629,False,0
638647731416489287,13.5445728302002,39.0372772216797,-0.656759679317474,0.01354457,0.03903728,-0.0006567597,0.0805949792265892,0.977631747722626,0.779114484786987,-0.247895240783691,0.793438017368317,0.360608547925949,True,0
638647731416609162,13.540940284729,39.0676803588867,-0.701735198497772,0.01354094,0.03906768,-0.0007017352,0.0805949792265892,0.978039801120758,0.779114484786987,-0.255565464496613,0.794716417789459,0.36700040102005,True,0.008335114
638647731416909694,13.5305585861206,39.0902633666992,-0.830269157886505,0.01353056,0.03909026,-0.0008302692,0.0805949792265892,0.978855848312378,0.778707027435303,-0.269627511501312,0.795994758605957,0.383619219064713,True,0.01666641
